id_2,parto,pesaje,del,lvd,raza
3550,16/2/2008,2/6/2008,107,17.6,MESTIZA
3550,16/2/2008,17/6/2008,122,16.2,MESTIZA
3550,16/2/2008,3/7/2008,138,13.8,MESTIZA
3550,16/2/2008,18/7/2008,153,14.7,MESTIZA
3550,16/2/2008,3/8/2008,169,12.3,MESTIZA
3550,16/2/2008,18/8/2008,184,14,MESTIZA
3550,16/2/2008,1/9/2008,198,12.9,MESTIZA
3550,16/2/2008,17/9/2008,214,14.5,MESTIZA
3550,16/2/2008,5/10/2008,232,14.2,MESTIZA
3550,16/2/2008,19/10/2008,246,13,MESTIZA
3550,16/2/2008,1/11/2008,259,11.8,MESTIZA
3550,16/2/2008,16/11/2008,274,12.4,MESTIZA
3550,16/2/2008,3/12/2008,291,10.1,MESTIZA
3550,16/2/2008,17/12/2008,305,11.2,MESTIZA
3550,16/2/2008,4/1/2009,323,12.3,MESTIZA
3550,16/2/2008,18/1/2009,337,5.5,MESTIZA
3550,16/2/2008,1/2/2009,351,7,MESTIZA
3550,16/2/2008,16/2/2009,366,5,MESTIZA
3550,16/2/2008,4/5/2009,443,6.1,MESTIZA
3550,16/2/2008,18/5/2009,457,6,MESTIZA
3565,26/2/2008,23/4/2008,57,11.2,CARORA
3565,26/2/2008,8/5/2008,72,11.5,CARORA
3565,26/2/2008,21/5/2008,85,12.2,CARORA
3565,26/2/2008,9/6/2008,104,9.9,CARORA
3565,26/2/2008,23/6/2008,118,11.2,CARORA
3565,26/2/2008,8/7/2008,133,12,CARORA
3565,26/2/2008,23/7/2008,148,10.4,CARORA
3565,26/2/2008,8/8/2008,164,9.8,CARORA
3565,26/2/2008,23/8/2008,179,9.3,CARORA
3565,26/2/2008,8/9/2008,195,8.8,CARORA
3565,26/2/2008,23/9/2008,210,8.9,CARORA
3565,26/2/2008,7/10/2008,224,8.6,CARORA
3565,26/2/2008,23/10/2008,240,7.9,CARORA
3565,26/2/2008,10/11/2008,258,8.1,CARORA
3565,26/2/2008,24/11/2008,272,7.4,CARORA
3565,26/2/2008,7/12/2008,285,7.3,CARORA
3565,26/2/2008,22/12/2008,300,6.3,CARORA
3565,26/2/2008,8/1/2009,317,4.4,CARORA
3565,26/2/2008,22/1/2009,331,4.8,CARORA
3565,26/2/2008,9/2/2009,349,3.9,CARORA
3568,7/3/2008,31/3/2008,24,11.3,MESTIZA
3568,7/3/2008,15/4/2008,39,13.4,MESTIZA
3568,7/3/2008,28/4/2008,52,13.1,MESTIZA
3568,7/3/2008,17/5/2008,71,14.4,MESTIZA
3568,7/3/2008,31/5/2008,85,17.2,MESTIZA
3568,7/3/2008,15/6/2008,100,14.4,MESTIZA
3568,7/3/2008,30/6/2008,115,15.5,MESTIZA
3568,7/3/2008,16/7/2008,131,15.3,MESTIZA
3568,7/3/2008,31/7/2008,146,13.3,MESTIZA
3568,7/3/2008,16/8/2008,162,14.8,MESTIZA
3568,7/3/2008,31/8/2008,177,15.2,MESTIZA
3568,7/3/2008,14/9/2008,191,14.8,MESTIZA
3568,7/3/2008,30/9/2008,207,15.2,MESTIZA
3568,7/3/2008,18/10/2008,225,14.8,MESTIZA
3568,7/3/2008,1/11/2008,239,14.7,MESTIZA
3568,7/3/2008,14/11/2008,252,16.4,MESTIZA
3568,7/3/2008,29/11/2008,267,14.1,MESTIZA
3568,7/3/2008,16/12/2008,284,11,MESTIZA
3568,7/3/2008,30/12/2008,298,12.9,MESTIZA
3568,7/3/2008,17/1/2009,316,12,MESTIZA
3568,7/3/2008,31/1/2009,330,6.5,MESTIZA
3568,7/3/2008,14/2/2009,344,5.1,MESTIZA
3568,7/3/2008,1/3/2009,359,2.4,MESTIZA
3579,17/3/2008,4/4/2008,18,8,CARORA
3579,17/3/2008,17/4/2008,31,9.8,CARORA
3579,17/3/2008,6/5/2008,50,9.9,CARORA
3579,17/3/2008,20/5/2008,64,13.4,CARORA
3579,17/3/2008,4/6/2008,79,15.7,CARORA
3579,17/3/2008,19/6/2008,94,10.1,CARORA
3579,17/3/2008,5/7/2008,110,14,CARORA
3579,17/3/2008,20/7/2008,125,10.1,CARORA
3579,17/3/2008,5/8/2008,141,6.9,CARORA
3579,17/3/2008,20/8/2008,156,11.6,CARORA
3579,17/3/2008,3/9/2008,170,8.8,CARORA
3579,17/3/2008,19/9/2008,186,7.9,CARORA
3579,17/3/2008,7/10/2008,204,9.4,CARORA
3579,17/3/2008,21/10/2008,218,7.2,CARORA
3579,17/3/2008,3/11/2008,231,7.3,CARORA
3579,17/3/2008,18/11/2008,246,7.2,CARORA
3579,17/3/2008,5/12/2008,263,3,CARORA
3579,17/3/2008,19/12/2008,277,2.7,CARORA
3579,17/3/2008,6/1/2009,295,3.3,CARORA
3586,27/3/2008,21/5/2008,55,9,MESTIZA
3586,27/3/2008,5/6/2008,70,6.1,MESTIZA
3586,27/3/2008,18/6/2008,83,8.4,MESTIZA
3586,27/3/2008,7/7/2008,102,10.6,MESTIZA
3586,27/3/2008,21/7/2008,116,13.1,MESTIZA
3586,27/3/2008,5/8/2008,131,13.2,MESTIZA
3586,27/3/2008,20/8/2008,146,12.1,MESTIZA
3586,27/3/2008,5/9/2008,162,10.4,MESTIZA
3586,27/3/2008,20/9/2008,177,7.6,MESTIZA
3586,27/3/2008,6/10/2008,193,8,MESTIZA
3586,27/3/2008,21/10/2008,208,8.2,MESTIZA
3586,27/3/2008,4/11/2008,222,8.9,MESTIZA
3586,27/3/2008,20/11/2008,238,7.9,MESTIZA
3586,27/3/2008,8/12/2008,256,8.2,MESTIZA
3586,27/3/2008,22/12/2008,270,6.3,MESTIZA
3586,27/3/2008,4/1/2009,283,6,MESTIZA
3586,27/3/2008,19/1/2009,298,5.7,MESTIZA
3586,27/3/2008,5/2/2009,315,5.5,MESTIZA
3586,27/3/2008,19/2/2009,329,3.3,MESTIZA
3586,27/3/2008,9/3/2009,347,3.8,MESTIZA
3596,6/4/2008,17/5/2008,41,16.6,MESTIZA
3596,6/4/2008,1/6/2008,56,15.4,MESTIZA
3596,6/4/2008,14/6/2008,69,11.8,MESTIZA
3596,6/4/2008,3/7/2008,88,13.6,MESTIZA
3596,6/4/2008,17/7/2008,102,13.3,MESTIZA
3596,6/4/2008,1/8/2008,117,16.9,MESTIZA
3596,6/4/2008,16/8/2008,132,10.4,MESTIZA
3596,6/4/2008,1/9/2008,148,16.9,MESTIZA
3596,6/4/2008,16/9/2008,163,14.2,MESTIZA
3596,6/4/2008,2/10/2008,179,14.8,MESTIZA
3596,6/4/2008,17/10/2008,194,12.5,MESTIZA
